I 06/10/2012 16:49:27:808 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:49:27:812 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:49:27:813 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:49:27:813 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:49:27:813 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:49:27:815 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:49:27:815 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:49:27:817 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:49:27:819 00002ac8           HttpServer| GC End.
I 06/10/2012 16:49:27:819 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:49:27:851 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:49:32:853 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:49:32:855 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:49:32:856 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:49:32:857 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:49:32:858 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:49:32:913 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:49:32:914 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:49:32:915 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:49:33:055 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:49:33:144 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:57:45:787 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:57:45:789 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:57:45:790 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:57:45:790 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:57:45:790 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:57:45:792 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:57:45:792 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:57:45:795 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:57:45:796 00002ac8           HttpServer| GC End.
I 06/10/2012 16:57:45:796 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:57:45:824 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:57:45:827 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:57:45:829 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:57:45:830 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:57:45:831 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:57:45:832 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:57:45:893 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:57:45:909 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:57:45:912 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:57:46:069 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:57:46:180 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:58:46:336 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:58:46:338 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:58:46:339 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:58:46:339 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:58:46:339 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:58:46:341 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:58:46:341 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:58:46:343 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:58:46:345 00002ac8           HttpServer| GC End.
I 06/10/2012 16:58:46:345 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:58:46:369 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:58:46:377 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:58:46:379 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:58:46:380 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:58:46:381 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:58:46:382 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:58:46:436 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:58:46:437 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:58:46:438 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:58:46:622 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:58:46:658 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:59:01:423 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:59:01:426 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:59:01:426 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:59:01:427 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:59:01:427 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:59:01:428 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:59:01:429 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:59:01:431 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:59:01:433 00002ac8           HttpServer| GC End.
I 06/10/2012 16:59:01:434 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:59:01:457 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:59:01:466 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:59:01:468 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:59:01:470 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:59:01:471 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:59:01:473 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:59:01:481 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:59:01:482 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:59:01:554 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:59:01:746 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
